,Initial order ,,,,Date,2/12/2022,,,,,,,,,,
Bib,Jones-Orange&Cream,d2014,2,2,each,bag in box,1,6,gallon,5/5/2030,pantry,55.99,111.98,Dry,26,Jones Orange Cream bag in box 3 gallon
Bib,Jones-Root beer,d2015,2,2,each,bag in box,1,6,gallon,5/4/2030,pantry,55.99,111.98,Dry,27,Jones root beer bag in box 3 gallon
Bib,Jones-Cola,d2016,2,2,each,bag in box,1,6,gallon,5/5/2030,pantry,55.99,111.98,Dry,28,Jones cola bag in box 3 gallon
Bib,Jones-Lemon Lime,d2017,2,2,each,bag in box,1,6,gallon,5/7/2030,pantry,55.99,111.98,Dry,29,Jones lemon lime bag in box 3 gallon
Bib,Jones-Sugar Free Cola,d2018,2,2,each,bag in box,1,6,gallon,5/2/2030,pantry,55.99,111.98,Dry,30,Jones sugar free cola bag in box 3 gallon
Bottles,,,,,,,,,,,,,,,,
Bottles,Bottled Root Beer,d2019,4,4,24/case,case,1,96,bottle,5/4/2030,pantry,39.99,159.96,Dry,31,Jones 12oz Root Beer Soda 24/case
Bottles,Bottled Cream Soda,d2020,4,4,24/case,case,1,96,bottle,5/4/2030,pantry,39.99,159.96,Dry,32,Jones 12oz Cream Soda 24/case
Bottles,Bottled Orange & Cream,d2021,4,4,24/case,case,1,96,bottle,5/5/2030,pantry,39.99,159.96,Dry,33,Jones 12oz Orange Cream Soda 24/case
Bottles,Bottled Berry Lemonade,d2022,4,4,24/case,case,1,96,bottle,5/4/2030,pantry,39.99,159.96,Dry,34,Jones 12oz Berry Lemonade Soda 24/case
Serving,,,,,,,,,,,,,,,,
Serving,Straw,d2023,3,3,800/Pack,Pack,1,2400,unit,null,shelf,19.99,59.97,Dry,36,7 3/4 inch black wrapped straw 800/pack
Serving,Drink lid,d2024,2,2,1000/case,case,1,2000,unit,null,shelf,29.99,59.98,Dry,37,Clear flat lid with straw slot 1000/case
Serving,10oz Cup,d2025,1,1,1000/case,case,1,1000,unit,null,shelf,55.99,55.99,Dry,38,10 oz clear cup 1000/case
Serving,16 oz Cup,d2026,2,2,1000/case,case,1,2000,unit,null,shelf,68.49,136.98,Dry,39,16 oz clear cup 1000/case
Serving,Napkin,d2027,1,1,6000/case,case,1,6000,unit,null,shelf,36.49,36.49,Dry,40,6.5x8.5 dispenser napkin 6000/case
Serving,Cutlery pack,d2028,4,4,500/case,case,1,2000,unit,null,shelf,34.49,137.96,Dry,41,Cutlery pack with napkin salt pepper
Serving,Basket liners,d2029,1,1,6000/case,case,1,6000,unit,null,shelf,82.49,82.49,Dry,42,"Basket liners, 6000/case"
Serving,2oz clear cup,d2030,1,1,2500/case,case,1,2500,unit,null,shelf,40.99,40.99,Dry,43,Sauce cup
Serving,2oz lid,d2031,1,1,2500/case,case,1,2500,unit,null,shelf,47.99,47.99,Dry,44,Sauce lid
Serving,5.5 oz clear cup,d2032,1,1,2500/case,case,1,2500,unit,null,shelf,88.49,88.49,Dry,45,Potato salad cup
Serving,5.5 oz lid,d2033,1,1,2500/case,pack,1,2500,unit,null,shelf,48.49,48.49,Dry,46,Potato salad lid
Serving,Hinged lid box sm,d2034,3,3,450/case,case,1,1350,unit,null,shelf,67.97,203.91,Dry,47,"Small togo box, 450/case"
Serving,Hinged lid box lg,d2035,5,5,200/case,case,1,1000,unit,null,shelf,56.62,283.10,Dry,48,"Large togo box, 200/case"
Janitorial,,,,,,,,,,,,,,,,
Janitorial,Hand soap,d2037,3,3,8/case,case,1,288,oz,null,utility closet,56.70,170.10,Dry,50,Liquid hand soap in counter dispenser 12oz
Janitorial,Hand sanitizer,d2038,2,2,4/case,case,1,8,unit,null,utility closet,88.88,177.76,Dry,51,"Liter hand sanitizer, 4/case"
Janitorial,Dish soap,d2039,1,1,12/case,case,1,384,oz,null,utility closet,27.99,27.99,Dry,52,"Liquid dish soap 32oz, 12/case"
Janitorial,Paper towels,d2040,2,2,6roll/case,case,1,12,unit,null,utility closet,23.99,47.98,Dry,53,"Kraft roll paper towel 800ft/roll, 6roll/case"
Janitorial,gloves,d2041,4,4,1000/case,case,1,2000,pair,null,utility closet,7.99,31.96,Dry,54,"Food service glove, 100/box, 10box/case"
Janitorial,trash can liners-small,d2042,1,1,1000/case,case,1,1000,unit,null,utility closet,29.49,29.49,Dry,55,"Can liner 15 gal, 1000/case"
Janitorial,trash can liners-lg,d2043,1,1,50/case,case,1,50,unit,null,utility closet,28.99,28.99,Dry,56,"Lg can liner 45 gal, 50/case"
Janitorial,toilet paper,d2044,1,1,96 roll/case,case,1,96,unit,null,utility closet,72.99,72.99,Dry,57,"Toilet paper, 2ply 500sheet/roll"
Janitorial,Surface cleaner,d2045,1,1,12/case,case,1,12,unit,null,utility closet,52.49,52.49,Dry,58,"Spray cleaner, 32oz/12/case"
Janitorial,Floor cleaner,d2046,2,2,90/tub,tub,1,180,unit,null,utility closet,23.49,46.98,Dry,59,"Floor cleaner .5oz pack, 90pk/tub"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Case/invoice total,,197,,,,,,,,,,8673.41,,,
